id,customername,contactperson,grossamount,currency
7050,"Daugherty, Little and Stroman",Georgie Doiley,16934,EUR
6781,Skiles-Rolfson,Ban O'Cahill,7702,IDR
6662,Waters Group,Silva Deverock,15241,PLN
7185,Auer-Ledner,Orran Pashba,23753,SEK
7173,Grant Group,Yevette Corkill,8331,RUB
6678,Corwin-Larson,Ahmad Moorerud,24947,IDR
6531,Weber-Howell,Jackie Nettles,21193,SEK
6417,Moen-Schuster,Inez Glander,24391,IDR
6481,"Herman, Labadie and Robel",Christen Shury,24445,RUB
6143,Murazik and Sons,Cirillo Brussels,16459,ARS
6895,"Tillman, Langosh and Runolfsson",Kimmy Vondra,9767,PLN
7042,"Dach, Muller and Kessler",Tiffy Dawes,16697,PHP
6015,"Windler, Adams and Medhurst",Ardith Lowles,19064,CNY
7118,Russel-Nicolas,Gloriana Cornier,9477,CNY
6327,"Crist, Beer and Goldner",Ezekiel Berrey,16660,PHP
7007,Lakin LLC,Linnie Wyley,15223,THB
6255,"Kuhic, Frami and Okuneva",Neil Livett,7758,BRL
6381,Yost-Lowe,Liesa McTrustam,10364,PEN
6890,Blanda-Runolfsdottir,Bartholomew Ketteridge,17901,BAM
6095,"O'Hara, Skiles and Hessel",Janeen Lukianovich,25482,IDR
6571,Hettinger-Collins,Fergus Dartan,7280,SEK
6556,Heaney Inc,Amber Westrip,7535,MYR
6474,"Pollich, Jenkins and Zboncak",Bernadene Heyworth,22813,IDR
6519,Grant Group,Carlye Johnsey,12559,CNY
7136,Lehner-Bradtke,Rob Caseley,11272,DOP
6675,Jacobs-Yost,Adolphe Gentner,25048,NIO
6624,White LLC,Zaccaria Lilywhite,20751,IDR
6565,Kozey-Wyman,Cristionna Ilett,7590,COP
6283,"Quitzon, Thompson and Bayer",Sonny Pibworth,24650,CZK
6359,Reichel-Robel,Yelena Mc Carroll,14985,PEN
6104,"Parisian, Wintheiser and Wunsch",Fritz Cray,15692,PHP
6746,Koch Group,Marlin Reyna,10970,CLP
6074,"VonRueden, Zemlak and Cronin",Jeff Gorden,17252,CNY
7131,D'Amore-Nikolaus,Jermaine Sparke,13794,CNY
6530,"Quigley, Bechtelar and Simonis",Bernarr Saipy,15360,EUR
6972,Hermiston-Kassulke,Dulcinea Tarbin,9843,CNY
